EMP-ID|PAY-DATE|BASIC|OVERTIME|BONUS|LEAVE|GROSS|TAX|NET
1         |2025-03-02|005000000|000140000|000600000|02|005406668|000811000|004595668
1         |2025-04-22|005000000|000000000|000000000|00|005000000|000750000|004250000
1         |2025-04-23|005000000|000000000|000000000|00|005000000|000750000|004250000
1         |2025-05-07|000050000|000080000|000700000|01|000828334|000124250|000704084
1         |2025-05-10|005000000|000080000|000700000|01|005613334|000842000|004771334
1         |2025-05-25|005000000|000180000|000600000|02|005446668|000817000|004629668
1         |2025-05-26|005000000|000020000|000000153|01|004853487|000728023|004125464
1         |2025-05-28|000050000|000100000|000400000|04|000543336|000081500|000461836
2         |2025-04-22|005000000|000000000|000000000|00|005000000|000750000|004250000
2         |2025-04-23|005000000|000000000|000000000|00|005000000|000750000|004250000
2         |2025-04-24|000050000|000440000|000000328|01|000488662|000073299|000415363
2         |2025-04-25|005000000|000000000|000000000|00|005000000|000750000|004250000
2         |2025-04-30|005000000|000080000|000700000|01|005613334|000842000|004771334
2         |2025-05-01|005000000|000080000|000700000|02|005446668|000817000|004629668
2         |2025-05-10|000050000|000160000|000808800|02|001015468|000152320|000863148
2         |2025-05-25|005000000|000080000|000700000|00|005780000|000867000|004913000
2         |2025-06-15|000050000|000160000|000200000|05|000401670|000060250|000341420
3         |2025-03-25|006000000|000180000|000600000|02|006380000|000957000|005423000
3         |2025-04-23|000060000|000080000|000700000|02|000836000|000125400|000710600
3         |2025-04-25|006000000|000080000|000700000|02|006380000|000957000|005423000
3         |2025-05-15|006000000|000080000|000800000|02|006480000|000972000|005508000
TOTAL NET PAY: |00073536587
